postcode,division,district,thana,suboffice,postcode_num
8142,Dhaka,Gopalganj,Maksudpur,Khandarpara,8142
8140,Dhaka,Gopalganj,Maksudpur,Muksudpur,8140
8121,Dhaka,Gopalganj,Tungipara,Patgati,8121
8120,Dhaka,Gopalganj,Tungipara,Tungipara,8120
2336,Dhaka,Kishoreganj,Bajitpur,Bajitpur,2336
2338,Dhaka,Kishoreganj,Bajitpur,Laksmipur,2338
2337,Dhaka,Kishoreganj,Bajitpur,Sararchar,2337
2350,Dhaka,Kishoreganj,Bhairob,Bhairab,2350
2320,Dhaka,Kishoreganj,Hossenpur,Hossenpur,2320
2390,Dhaka,Kishoreganj,Itna,Itna,2390
2310,Dhaka,Kishoreganj,Karimganj,Karimganj,2310
2331,Dhaka,Kishoreganj,Katiadi,Gochhihata,2331
2330,Dhaka,Kishoreganj,Katiadi,Katiadi,2330
2301,Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj S.Mills,2301
2300,Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,2300
2302,Dhaka,Kishoreganj,Pakundia,Maizhati,2302
2303,Dhaka,Kishoreganj,Kishoreganj Sadar,Nilganj,2303
2341,Dhaka,Kishoreganj,Kuliarchar,Chhoysuti,2341
2340,Dhaka,Kishoreganj,Kuliarchar,Kuliarchar,2340
2371,Dhaka,Kishoreganj,Mithamoin,Abdullahpur,2371
2370,Dhaka,Kishoreganj,Mithamoin,MIthamoin,2370
2360,Dhaka,Kishoreganj,Nikli,Nikli,2360
2380,Dhaka,Kishoreganj,Bhairob,Ostagram,2380
2326,Dhaka,Kishoreganj,Pakundia,Pakundia,2326
2316,Dhaka,Kishoreganj,Tarail,Tarail,2316
7932,Dhaka,Madaripur,Barhamganj,Bahadurpur,7932
7930,Dhaka,Madaripur,Barhamganj,Barhamganj,7930
7931,Dhaka,Madaripur,Barhamganj,Nilaksmibandar,7931
7933,Dhaka,Madaripur,Barhamganj,Umedpur,7933
7920,Dhaka,Madaripur,kalkini,Kalkini,7920
7921,Dhaka,Madaripur,kalkini,Sahabrampur,7921
7901,Dhaka,Madaripur,Madaripur Sadar,Charmugria,7901
7903,Dhaka,Madaripur,Madaripur Sadar,Habiganj,7903
7902,Dhaka,Madaripur,Madaripur Sadar,Kulpaddi,7902
7900,Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,7900
7904,Dhaka,Madaripur,Madaripur Sadar,Mustafapur,7904
7911,Dhaka,Madaripur,Rajoir,Khalia,7911
7910,Dhaka,Madaripur,Rajoir,Rajoir,7910
1860,Dhaka,Manikganj,Rafayetpur,Doulatpur,1860
1840,Dhaka,Manikganj,Ghior,Ghior,1840
1831,Dhaka,Manikganj,Lechhraganj,Jhitka,1831
1830,Dhaka,Manikganj,Barhamganj,Barhamganj,1830
1804,Dhaka,Manikganj,Manikganj Sadar,Barangail,1804
1802,Dhaka,Manikganj,Manikganj Sadar,Gorpara,1802
1803,Dhaka,Manikganj,Manikganj Sadar,Mahadebpur,1803
1801,Dhaka,Manikganj,Manikganj Sadar,Manikganj Bazar,1801
1800,Dhaka,Manikganj,Manikganj Sadar,Manikganj Sadar,1800
1811,Dhaka,Manikganj,Saturia,Baliati,1811
1810,Dhaka,Manikganj,Saturia,Saturia,1810
1851,Dhaka,Manikganj,Shibloya,Aricha,1851
1850,Dhaka,Manikganj,Shibloya,Shibaloy,1850
1852,Dhaka,Manikganj,Shibloya,Tewta,1852
1853,Dhaka,Manikganj,Shibloya,Uthli,1853
1821,Dhaka,Manikganj,Singari,Baira,1821
1822,Dhaka,Manikganj,Singari,joymantop,1822
1820,Dhaka,Manikganj,Singari,Singair,1820
1510,Dhaka,Munshiganj,Gajaria,Gajaria,1510
1511,Dhaka,Munshiganj,Gajaria,Hossendi,1511
1512,Dhaka,Munshiganj,Gajaria,Gouragonj,1512
1534,Dhaka,Munshiganj,Lohajong,Gouragonj,1534
1532,Dhaka,Munshiganj,Lohajong,Haldia SO,1532
1333,Dhaka,Dhaka,Lohajong,Haridia,1333
1533,Dhaka,Munshiganj,Lohajong,Haridia DESO,1533
1531,Dhaka,Munshiganj,Lohajong,Korhati,1531
1530,Dhaka,Munshiganj,Lohajong,Lohajang,1530
1335,Dhaka,Dhaka,Lohajong,Madini Mandal,1335
1503,Dhaka,Munshiganj,Munshiganj Sadar,Kathakhali,1503
1502,Dhaka,Munshiganj,Munshiganj Sadar,Mirkadim,1502
1500,Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,1500
1501,Dhaka,Munshiganj,Munshiganj Sadar,Rikabibazar,1501
1542,Dhaka,Munshiganj,Sirajdikhan,Ichapur,1542
1541,Dhaka,Munshiganj,Sirajdikhan,Kola,1541
1543,Dhaka,Munshiganj,Sirajdikhan,Malkha Nagar,1543
1544,Dhaka,Munshiganj,Sirajdikhan,Shekher Nagar,1544
1540,Dhaka,Munshiganj,Sirajdikhan,Sirajdikhan,1540
1557,Dhaka,Munshiganj,Sreenagar,Baghra,1557
1551,Dhaka,Munshiganj,Sreenagar,Rarikhal,1551
1558,Dhaka,Munshiganj,Sreenagar,Bhaggyakul,1558
1553,Dhaka,Munshiganj,Sreenagar,Hashara,1553
1554,Dhaka,Munshiganj,Sreenagar,Kolapara,1554
1555,Dhaka,Munshiganj,Sreenagar,Kumarbhog,1555
1552,Dhaka,Munshiganj,Sreenagar,Maijpara,1552
1550,Dhaka,Munshiganj,Sreenagar,Sreenagar,1550
1556,Dhaka,Munshiganj,Sreenagar,Vaggyakul SO,1556
1523,Dhaka,Munshiganj,Tangibari,Bajrajugini,1523
1522,Dhaka,Munshiganj,Tangibari,Baligao,1522
1521,Dhaka,Munshiganj,Tangibari,Betkahat,1521
1525,Dhaka,Munshiganj,Tangibari,Dighirpar,1525
1524,Dhaka,Munshiganj,Tangibari,Hasail,1524
1527,Dhaka,Munshiganj,Tangibari,Pura,1527
1526,Dhaka,Munshiganj,Tangibari,Pura EDSO,1526
1520,Dhaka,Munshiganj,Tangibari,Tangibari,1520
1450,Dhaka,Narayanganj,Araihazar,Araihazar,1450
1460,Dhaka,Narayanganj,Rupganj,Rupganj,1460
1451,Dhaka,Narayanganj,Araihazar,Baidder Bazar,1451
1440,Dhaka,Narayanganj,Baidder Bazar,Baidder Bazar,1440
1441,Dhaka,Narayanganj,Baidder Bazar,Bara Nagar,1441
1442,Dhaka,Narayanganj,Baidder Bazar,Barodi,1442
1410,Dhaka,Narayanganj,Bandar,Bandar,1410
1413,Dhaka,Narayanganj,Bandar,BIDS,1413
1411,Dhaka,Narayanganj,Bandar,D.C Mills,1411
1414,Dhaka,Narayanganj,Bandar,Madanganj,1414
1412,Dhaka,Narayanganj,Bandar,Nabiganj,1412
1421,Dhaka,Narayanganj,Fatullah,Fatulla Bazar,1421
1420,Dhaka,Narayanganj,Fatullah,Fatullah,1420
1400,Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,1400
1462,Dhaka,Narayanganj,Rupganj,Bhulta,1462
1461,Dhaka,Narayanganj,Rupganj,Kanchan,1461
1464,Dhaka,Narayanganj,Rupganj,Murapara,1464
1463,Dhaka,Narayanganj,Rupganj,Nagri,1463
1431,Dhaka,Narayanganj,Siddirganj,Adamjeenagar,1431
1432,Dhaka,Narayanganj,Siddirganj,LN Mills,1432
1430,Dhaka,Narayanganj,Siddirganj,Siddhirganj,1430
1640,Dhaka,Narsingdi,Belabo,Belabo,1640
1651,Dhaka,Narsingdi,Monohordi,Hatirdia,1651
1652,Dhaka,Narsingdi,Monohordi,Katabaria,1652
1650,Dhaka,Narsingdi,Monohordi,Monohordi,1650
1605,Dhaka,Narsingdi,Narsingdi Sadar,Karimpur,1605
1604,Dhaka,Narsingdi,Narsingdi Sadar,Madhabdi,1604
1602,Dhaka,Narsingdi,Narsingdi Sadar,Narsingdi College,1602
1600,Dhaka,Narsingdi,Narsingdi Sadar,Narsingdi Sadar,1600
1603,Dhaka,Narsingdi,Narsingdi Sadar,Panchdona,1603
1601,Dhaka,Narsingdi,Narsingdi Sadar,UMC Jute Mills,1601
1612,Dhaka,Narsingdi,Palash,Char Sindhur,1612
1613,Dhaka,Narsingdi,Palash,Ghorashal,1613
1611,Dhaka,Narsingdi,Palash,Sarkarkhana,1611
1610,Dhaka,Narsingdi,Palash,Palash,1610
1631,Dhaka,Narsingdi,Raypur,Bazar Hasnabad,1631
1632,Dhaka,Narsingdi,Raypur,Radhaganj bazar,1632
1630,Dhaka,Narsingdi,Raypur,Raipur,1630
1620,Dhaka,Narsingdi,Shibpur,Shibpur,1620
7730,Dhaka,Rajbari,Baliakandi,Baliakandi,7730
7731,Dhaka,Rajbari,Baliakandi,Nalia,7731
7723,Dhaka,Rajbari,Pangsha,Mrigibazar,7723
7720,Dhaka,Rajbari,Pangsha,Pangsha,7720
7721,Dhaka,Rajbari,Pangsha,Ramkol,7721
7722,Dhaka,Rajbari,Pangsha,Ratandia,7722
7710,Dhaka,Rajbari,Rajbari Sadar,Goalanda,7710
7711,Dhaka,Rajbari,Rajbari Sadar,Khankhanapur,7711
7700,Dhaka,Rajbari,Rajbari Sadar,Rajbari Sadar,7700
8030,Dhaka,Shariatpur,Bhedorganj,Bhedorganj,8030
8040,Dhaka,Shariatpur,Damudhya,Damudhya,8040
8050,Dhaka,Shariatpur,Gosairhat,Gosairhat,8050
8010,Dhaka,Shariatpur,Jajira,Jajira,8010
8021,Dhaka,Shariatpur,Naria,Bhozeshwar,8021
8022,Dhaka,Shariatpur,Naria,Gharisar,8022
8024,Dhaka,Shariatpur,Naria,Kartikpur,8024
8020,Dhaka,Shariatpur,Naria,Naria,8020
8023,Dhaka,Shariatpur,Naria,Upshi,8023
8001,Dhaka,Shariatpur,Shariatpur Sadar,Angaria,8001
8002,Dhaka,Shariatpur,Shariatpur Sadar,Chikandi,8002
8000,Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,8000
1920,Dhaka,Tangail,Basail,Basail,1920
1960,Dhaka,Tangail,Bhuapur,Bhuapur,1960
1910,Dhaka,Tangail,Delduar,Delduar,1910
1913,Dhaka,Tangail,Delduar,Elasin,1913
1914,Dhaka,Tangail,Delduar,Hinga Nagar,1914
1911,Dhaka,Tangail,Delduar,Jangalia,1911
1915,Dhaka,Tangail,Delduar,Lowhati,1915
1912,Dhaka,Tangail,Delduar,Patharail,1912
1982,Dhaka,Tangail,Ghatail,D. Pakutia,1982
1983,Dhaka,Tangail,Ghatail,Dhalapara,1983
1980,Dhaka,Tangail,Ghatail,Ghatial,1980
1984,Dhaka,Tangail,Ghatail,Lohani,1984
1981,Dhaka,Tangail,Ghatail,Zahidganj,1981
1990,Dhaka,Tangail,Gopalpur,Gopalpur,1990
1992,Dhaka,Tangail,Gopalpur,Hemnagar,1992
1991,Dhaka,Tangail,Gopalpur,Chatutia,1991
1973,Dhaka,Tangail,Kalihati,Ballabazar,1973
1974,Dhaka,Tangail,Kalihati,Elinga,1974
1970,Dhaka,Tangail,Kalihati,Kalihati,1970
1977,Dhaka,Tangail,Kalihati,Nagarbari,1977
1976,Dhaka,Tangail,Kalihati,Nagarbari SO,1976
1972,Dhaka,Tangail,Kalihati,Nagbari,1972
1975,Dhaka,Tangail,Kalihati,Palisha,1975
1971,Dhaka,Tangail,Kalihati,Rajafair,1971
1930,Dhaka,Tangail,Kashkaolia,Kashkawlia,1930
1997,Dhaka,Tangail,Madhupur,Dhonbari,1997
1996,Dhaka,Tangail,Madhupur,Madhupur,1996
1941,Dhaka,Tangail,Mirzapur,Gorai,1941
1944,Dhaka,Tangail,Mirzapur,Jarmuki,1944
1942,Dhaka,Tangail,Mirzapur,M.C. College,1942
1940,Dhaka,Tangail,Mirzapur,Mirzapur,1940
1945,Dhaka,Tangail,Mirzapur,Mohera,1945
1943,Dhaka,Tangail,Mirzapur,Warri paikpara,1943
1937,Dhaka,Tangail,Nagarpur,Dhuburia,1937
1936,Dhaka,Tangail,Nagarpur,Nagarpur,1936
1938,Dhaka,Tangail,Nagarpur,Salimabad,1938
1951,Dhaka,Tangail,Sakhipur,Kachua,1951
1950,Dhaka,Tangail,Sakhipur,Sakhipur,1950
1901,Dhaka,Tangail,Tangail Sadar,Kagmari,1901
1903,Dhaka,Tangail,Tangail Sadar,Korotia,1903
1904,Dhaka,Tangail,Tangail Sadar,Purabari,1904
1902,Dhaka,Tangail,Tangail Sadar,Santosh,1902
1900,Dhaka,Tangail,Tangail Sadar,Tangail Sadar,1900
2140,Mymensingh,Sherpur,Bakshigonj,Bakshigonj,2140
2030,Mymensingh,Jamalpur,Dewangonj,Dewangonj S. Mills,2030
2021,Mymensingh,Jamalpur,Islampur,Durmoot,2021
2022,Mymensingh,Jamalpur,Islampur,Gilabari,2022
2020,Mymensingh,Jamalpur,Islampur,Islampur,2020
2000,Mymensingh,Jamalpur,Jamalpur,Jalalpur,2000
2001,Mymensingh,Jamalpur,Jamalpur,Nandina,2001
2002,Mymensingh,Jamalpur,Jamalpur,Narundi,2002
2011,Mymensingh,Jamalpur,Melandah,Jalalpur,2011
2013,Mymensingh,Jamalpur,Melandah,Mahmudpur,2013
2012,Mymensingh,Jamalpur,Melandah,Malancha,2012
2010,Mymensingh,Jamalpur,Melandah,Melandah,2010
2041,Mymensingh,Jamalpur,Madarganj,Balijhuri,2041
2040,Mymensingh,Jamalpur,Madarganj,Madarganj,2040
2052,Mymensingh,Jamalpur,Sharishabari,Bausee,2052
2051,Mymensingh,Jamalpur,Sharishabari,Adarvita,2051
2053,Mymensingh,Jamalpur,Sharishabari,Jagannath Ghat,2053
2055,Mymensingh,Jamalpur,Sharishabari,Jamuna Sar Karkhana,2055
2054,Mymensingh,Jamalpur,Sharishabari,Pingna,2054
2050,Mymensingh,Jamalpur,Sharishabari,Sharishabari,2050
2240,Mymensingh,Mymensingh,Bhaluka,Bhaluka,2240
2216,Mymensingh,Mymensingh,Fulbaria,Fulbaria,2216
2234,Mymensingh,Mymensingh,Gaforgaon,Dobasia,2234
2230,Mymensingh,Mymensingh,Gaforgaon,Gaforgaon,2230
2233,Mymensingh,Mymensingh,Gaforgaon,Kandipara,2233
2231,Mymensingh,Mymensingh,Gaforgaon,Shibganj,2231
2232,Mymensingh,Mymensingh,Gaforgaon,Usti,2232
2270,Mymensingh,Mymensingh,Gouripur,Gouripur,2270
2271,Mymensingh,Mymensingh,Gouripur,Ramgopalpur,2271
2261,Mymensingh,Mymensingh,Haluaghat,Dhara,2261
2260,Mymensingh,Mymensingh,Haluaghat,Haluaghat,2260
2262,Mymensingh,Mymensingh,Haluaghat,Munshirhat,2262
2282,Mymensingh,Mymensingh,Isshwargonj,Atharabari,2282
2280,Mymensingh,Mymensingh,Isshwargonj,Isshwargonj,2280
2281,Mymensingh,Mymensingh,Isshwargonj,Sohagi,2281
2210,Mymensingh,Mymensingh,Muktagachha,Muktagachha,2210
2202,Mymensingh,Mymensingh,Mymensingh Sadar,Agriculture Universi,2202
2204,Mymensingh,Mymensingh,Mymensingh Sadar,Biddyaganj,2204
2201,Mymensingh,Mymensingh,Mymensingh Sadar,Kawatkhali,2201
2200,Mymensingh,Mymensingh,Mymensingh Sadar,Mymensingh Sadar,2200
2205,Mymensingh,Mymensingh,Mymensingh Sadar,Pearpur,2205
2203,Mymensingh,Mymensingh,Mymensingh Sadar,Shombhuganj,2203
2291,Mymensingh,Mymensingh,Nandail,Gangail,2291
2290,Mymensingh,Mymensingh,Nandail,Nandail,2290
2251,Mymensingh,Mymensingh,Phulpur,Beltia,2251
2250,Mymensingh,Mymensingh,Phulpur,Phulpur,2250
2252,Mymensingh,Mymensingh,Phulpur,Tarakanda,2252
2221,Mymensingh,Mymensingh,Trishal,Ahmadbad,2221
2223,Mymensingh,Mymensingh,Trishal,Dhala,2223
2222,Mymensingh,Mymensingh,Trishal,Ram Amritaganj,2222
2220,Mymensingh,Mymensingh,Trishal,Trishal,2220
2420,Mymensingh,Netrokona,Susung Durgapur,Susnng Durgapur,2420
2470,Mymensingh,Netrokona,Atpara,Atpara,2470
2440,Mymensingh,Netrokona,Barhatta,Barhatta,2440
2450,Mymensingh,Netrokona,Dharmapasha,Dharampasha,2450
2416,Mymensingh,Netrokona,Dhobaura,Dhobaura,2416
2417,Mymensingh,Netrokona,Dhobaura,Sakoai,2417
2430,Mymensingh,Netrokona,Kalmakanda,Kalmakanda,2430
2480,Mymensingh,Netrokona,Kendua,Kendua,2480
2460,Mymensingh,Netrokona,Khaliajuri,Khaliajhri,2460
2462,Mymensingh,Netrokona,Khaliajuri,Shaldigha,2462
2490,Mymensingh,Netrokona,Madan,Madan,2490
2456,Mymensingh,Netrokona,Moddhynagar,Moddoynagar,2456
2446,Mymensingh,Netrokona,Mohanganj,Mohanganj,2446
2401,Mymensingh,Netrokona,Netrakona Sadar,Baikherhati,2401
2400,Mymensingh,Netrokona,Netrakona Sadar,Netrakona Sadar,2400
2412,Mymensingh,Netrokona,Purbadhola,Jaria Jhanjhail,2412
2410,Mymensingh,Netrokona,Purbadhola,Purbadhola,2410
2411,Mymensingh,Netrokona,Purbadhola,Shamganj,2411
2120,Mymensingh,Sherpur,Jhinaigati,Jhinaigati,2120
2151,Mymensingh,Sherpur,Nakla,Gonopaddi,2151
2150,Mymensingh,Sherpur,Nakla,Nakla,2150
2111,Mymensingh,Sherpur,Nalitabari,Hatibandha,2111
2110,Mymensingh,Sherpur,Nalitabari,Nalitabari,2110
2100,Mymensingh,Sherpur,Sherpur Shadar,Sherpur Shadar,2100
2130,Mymensingh,Sherpur,Shribardi,Shribardi,2130
3360,Sylhet,Habiganj,Azmireeganj,Azmireeganj,3360
3310,Sylhet,Habiganj,Bahubal,Bahubal,3310
3350,Sylhet,Habiganj,Baniachang,Baniachang,3350
3351,Sylhet,Habiganj,Baniachang,Jatrapasha,3351
3352,Sylhet,Habiganj,Baniachang,Kadirganj,3352
3321,Sylhet,Habiganj,Chunarughat,Chandpurbagan,3321
3320,Sylhet,Habiganj,Chunarughat,Chunarughat,3320
3322,Sylhet,Habiganj,Chunarughat,Narapati,3322
3302,Sylhet,Habiganj,Habiganj Sadar,Gopaya,3302
3300,Sylhet,Habiganj,Habiganj Sadar,Habiganj Sadar,3300
3301,Sylhet,Habiganj,Habiganj Sadar,Shaestaganj,3301
3340,Sylhet,Habiganj,Kalauk,Kalauk,3340
3341,Sylhet,Habiganj,Kalauk,Lakhai,3341
3331,Sylhet,Habiganj,Madhabpur,Itakhola,3331
3330,Sylhet,Habiganj,Madhabpur,Madhabpur,3330
3333,Sylhet,Habiganj,Madhabpur,Saihamnagar,3333
3332,Sylhet,Habiganj,Madhabpur,Shahajibazar,3332
3373,Sylhet,Habiganj,Nabiganj,Digalbak,3373
3372,Sylhet,Habiganj,Nabiganj,Golduba,3372
3371,Sylhet,Habiganj,Nabiganj,Goplarbazar,3371
3374,Sylhet,Habiganj,Nabiganj,Inathganj,3374
3370,Sylhet,Habiganj,Nabiganj,Nabiganj,3370
3250,Sylhet,Moulvibazar,Baralekha,Baralekha,3250
3252,Sylhet,Moulvibazar,Baralekha,Dhakkhinbag,3252
3251,Sylhet,Moulvibazar,Baralekha,Juri,3251
3253,Sylhet,Moulvibazar,Baralekha,Purbashahabajpur,3253
3220,Sylhet,Moulvibazar,Kamalganj,Kamalganj,3220
3221,Sylhet,Moulvibazar,Kamalganj,Keramatnaga,3221
3224,Sylhet,Moulvibazar,Kamalganj,Munshibazar,3224
3222,Sylhet,Moulvibazar,Kamalganj,Patrakhola,3222
3223,Sylhet,Moulvibazar,Kamalganj,Shamsher Nagar,3223
3237,Sylhet,Moulvibazar,Kulaura,Baramchal,3237
3234,Sylhet,Moulvibazar,Kulaura,Kajaldhara,3234
3235,Sylhet,Moulvibazar,Kulaura,Karimpur,3235
3230,Sylhet,Moulvibazar,Kulaura,Kulaura,3230
3232,Sylhet,Moulvibazar,Kulaura,Langla,3232
3233,Sylhet,Moulvibazar,Kulaura,Prithimpasha,3233
3231,Sylhet,Moulvibazar,Kulaura,Tillagaon,3231
3203,Sylhet,Moulvibazar,Moulvibazar Sadar,Afrozganj,3203
3201,Sylhet,Moulvibazar,Moulvibazar Sadar,Barakapan,3201
3202,Sylhet,Moulvibazar,Moulvibazar Sadar,Monumukh,3202
3200,Sylhet,Moulvibazar,Moulvibazar Sadar,Moulvibazar Sadar,3200
3240,Sylhet,Moulvibazar,Rajnagar,Rajnagar,3240
3212,Sylhet,Moulvibazar,Srimangal,Kalighat,3212
3213,Sylhet,Moulvibazar,Srimangal,Khejurichhara,3213
3211,Sylhet,Moulvibazar,Srimangal,Narain Chora,3211
3214,Sylhet,Moulvibazar,Srimangal,Satgaon,3214
3210,Sylhet,Moulvibazar,Srimangal,Srimangal,3210
3010,Sylhet,Sunamganj,Bishamsarpur,Bishamsapur,3010
3080,Sylhet,Sunamganj,Chhatak,Chhatak,3080
3081,Sylhet,Sunamganj,Chhatak,Chhatak Cement Facto,3081
3082,Sylhet,Sunamganj,Chhatak,Chhatak Paper Mills,3082
3893,Sylhet,Noakhali,Chhatak,Chourangi Bazar,3893
3083,Sylhet,Sunamganj,Chhatak,Gabindaganj,3083
3084,Sylhet,Sunamganj,Chhatak,Gabindaganj Natun Ba,3084
3088,Sylhet,Sunamganj,Chhatak,Islamabad,3088
3087,Sylhet,Sunamganj,Chhatak,jahidpur,3087
3085,Sylhet,Sunamganj,Chhatak,Khurma,3085
3086,Sylhet,Sunamganj,Chhatak,Moinpur,3086
